id,url,title,text
26,,"In a typical on-line system, however, individual responses are managed linearly making the thread of a discourse sequence difficult to follow. This break down in the ability of members to engage in a coherent interaction leads to ""individual reasoning, not collec­tive reasoning"" [10, p.149] However, by merging the pragmatic needs of interaction with a conventionalized graphical representation participants in a collaborative learning system are be able to locally manage turns. This results in sustainable, coherent interaction.",
27,,"The IdeaWeb© addressed this need by merging the pragmatic principles of conversation with a visually oriented interface. [11,12]. A salient feature of the IdeaWeb is the user display system which requires each group member to map their interactions visually thereby enabling group members to quickly determine not only to whom a message was intended but also the position of that message in an on-going sequence of messages [12] .",
28,,"The intial version of the IdeaWeb used a single window display system. However, it was assumed that the visual display system played an important role in helping the user to contextualize previous messages. With the current design, the graphic display is ob­scured while the user is reading previous messages. Consequently, in order to improve performance within the system and to conform with current interface prac­tice the Idea Web was redesigned in order to implement a multiple window system providing the users with more control [13].",
29,,"Previous window design research indicates that user performance is effected not only by type of the window display system but also by the cognitive re­quirements of the task. For example, in a study that explored the ability of users to find information in a single text window in contrast to multiple overlapping windows, it was found that novice users performed",
30,,,
31,,"much better on the task using the single window dis­play. However, as the users became more proficient in the task and more efficient in using the interface, the readers ""benefited more from multi-windowing dis­plays because these helped them locate the information they have just read"" [14, p. 613]. Further, Aspillaga [15] investigated the effect of window location in con­junction with the overlapping of graphic information in a language tutorial. She found that a consistent win­dow position had a significant effect on performance than the overlapping of a graphic illustration. Ben­shoof and Hooper [ 16] in a study using a CAI tutorial found that high ability students performed significantly better in the single window treatment than all other students.. They suggest that the single window display may have helped the students to process information more deeply. They caution however, that these results may be due to the superior cognitive skills of the high ability students who were able to overcome the higher processing memory requirements of the single window display. In a more recent study this caution seems to be well founded as Benshoof, Graves and Hooper [17] report that all students performed significantly better in a tiled multi-window display system because it acted as supplementary memory aid in support of the main window.",
32,,"Modern windowing systems allow for not only the positioning of windows such as overlapping and tiling but also different window states. The primary state for most applications has the foremost window active and is considered the top window. If other windows are simultaneously open, they are inactive and are located behind the main window. To activate a background window, a user would choose a window by clicking the mouse somewhere within its boundary. This action changes the state of the current main window to inac­tive and moves it to the background while bringing the selected window to the top. Normally, a user could perform this action at any time. However if the top window is in a modal state, the user must first com­plete a task in order to either dismiss, activate or ma­nipulate another window. On the other hand if the top window is in a floating, modeless state, moving be­tween windows does not require activation or result in a state change because all windows are active.",
33,,"Schneiderman [18] suggests that a ""general prob­lem for computer users is the need to consult multiple sources rapidly, while minimally disrupting their con­centration on their task."" [18, p. 337]. The IdeaWeb was designed to enhance coherence by inhibiting the breakdown of interaction by supporting context build­ing through the graphic display of the links between messages in an going sequence of interaction. It was assumed that maintaining coherence in the IdeaWeb would be enhanced by allowing the user not only to read continuous sequences of comments but also to reposition or resize the window in order to be able to view the position of the current node in a sequence of",
34,,,
35,,,
36,,,
37,,,
38,,,
39,,"nodes. Therefore to conform with current interface design principles a modeless window system would permit the user to reposition, resize the window thus would allowing the user to view the underlying graphic with minimal interference from the system.",
40,,"In contrast, Shneiderman [18] also argues that dense, crowded and complicated displays are difficult for novices to use, the typical student in most instruc­tional situations. If Schneiderman is correct then the high cognitive requirements of managing asynchronous interaction in a computer mediated system would sug­gest a single modal window system would be prefer­able. The system would require each user to view a sequence of interaction without the distracting interfer­ence of the graphic display or the need to mangage the window such as resizing or repositioning. Conse­quently this study investigated the effect of the window state on user's behavior in an on-line mediated coher­ence.",
41,,,
42,,2. Method,
43,,"2.1. Subjects 
In order to investigate the effect of window modality 32 undergraduates in a self-paced introductory com­puter literacy course at a major southwestern university volunteered to participate in this study. The students had little previous computer experience. Students who met the minimum requirements of participation re­ceived bonus academic credit for the course.",
44,,"2.2. Materials 
As indicated before the salient feature of the Idea Web is the displaying of previous comments as a web of interactions. (Figure 1).",
45,,"The Idea Web was modified so that there were two conditions. The first condition used a floating, mode­less tiled window display system which could be repo­sitioned, resized or closed at any time by the user. (Figure 2).",
46,,DOUG 1112194,
47,,Stacie 1111194,
48,,,
49,,Wil.li3 1114194,
50,,Figure 1. Web of interactions.,
51,,,
52,,,
53,,,
54,,DOUG 1112194,
55,,DOUG 1113194,
56,,,
57,,Willis 1114194,
58,,,
59,,DOUG 1114194 	HO I don't think th.ere is aproblem vith the 	i!O 	Willis 11 / 4/94,
60,,"--------1Police having access, the question is",
61,,,
62,,Figure 2. Modeless window moved and resized.,
63,,,
64,,"The second condition used a single window modal display system that not only obscured the graphic, but also required the user to review a sequence of messages prior to returning to the graphic display.",
65,,"2.3. Procedure 
Experimental conditions were based on the window display system. The students were randomly assigned to 8 discussion groups of approximately 5 members per group. They were to participate in a laissez-faire dis­cussion concerning some topic. In addition, other top­ics provided an area for announcements of interest to members of the group and another for the users to voice concerns about the study, credit, and problems with the software etc. The students were required to use the system at least twice a week during study.",
66,,"2.4. Data Collection 
This study used a mixed design with an within-subject independent variable of window state [modal and modeless window] and a between subject independent",
67,,,
68,,"variable of group. Each group was randomly assigned and trained in the use of a particular window condition. At the end of a two week period, each group was re­assigned and re-trained during an interim week on the use of the new window condition .. The study continued for a second two weeks and maintained an event log for each member each time they logged on.",
69,,"3. Analysis 
The dependent variables of participation, time, number of messages, and length of messages were analyzed using a completely randomized block design with repeated measures. There was no main effect for groups. 	However, there was a main significant (WILKS' LAMBDA [3,22)= 62.5251775 P=0.000) effect within subjects by interface. However, subse­quent univariate investigations were not significant for number of visits, length of messages, number of mes­sages or number of words per message.",
70,,,
71,,,
72,,,
73,,,
74,,Table 3. Frequency of Sequence Length by Window State,
75,,Table 4. Event Probabilities,
76,,,
77,,,
78,,,
79,,,
80,,window-node-node-comment were typical sequences within the modeless environment. These sequences mimic the modal environment which was controlled by the system. Notice that it illustrates that the partici­pants chose to manipulate the modeless window sys­tem a litle more than 2% of the time either to reposition or resize the window.,
81,,"4. Discussion 
The goal of this study was to investigate the effect the window state and management on the ability of users to maintain coherent interaction within an on-line me­diated conference. Industry design practice suggests that users should be able have direct control of the windowing display system. In order to conform to in­dustry practice the IdeaWeb was redesigned from a single window display system to a modeless tiled win­dow display system. It was assumed that a modeless",
82,,underlying graphic display system was dynamic. windowing system would be preferable because the,
83,,different types of window display systems indicate that . 	Previous research on user performance in using,
84,,"the cognitive task is an important design factor. Ben­shoof et al. (in press) found that when the main win­dow was cognitively important, the tiling of the win­dow provided a useful device to help recall important information. Aspillaga (1991), discovered that an overlapping window did not diminsh performance when the data being displayed was more important than viewing an underlying graphic on the main win­dow. However, when the overlapping window was in­consistently located created a higher cognitive load with a subsequent decrease in user performance.",
85,,The results indicate that the students generally opted for a single window display system which is consistent with much of the previous research. Se­quence data from the event logs demonstrate that stu­dents chose to treat the modeless window as static or modal because they so infrequently moved or resized it even though they were permitted to do so. It appears that the students were concentrating on the cognitive task of managing the on-going computer mediated dis­c�ssion. This explains why there were no significant differences between the two window systems in terms of amount or length of the messages or in the length of the interaction sequences. The underlying graphic dis­play of the link nodes served as a orienting device which once viewed could be obscured without disrupt­ing the comprehension of the ongoing discussion.,
86,,"Nonetheless, by only partially obscuring the un­derlying graphic (see figure 2) may have interfered with the students' concentration. This may explain why there was a significant difference in linking data between the systems. Users in the single window modal system were significantly more likely to link a comment to multiple nodes . Because the modal sys­tem forced students to review comments linked to a",
87,,,
88,,"node prior to returning to the discussion screen the stu­dents could read previous comments without the visual interference of the graphic display. Even though this did not result in any significant improvement in the length of the interaction chains, it appears that the stu­dents had a better grasp of individual comments.",
89,,"This study has important consequences for screen and window design not only for developing on-line conference systems, but within multimedia systems that have dense cognitive material. If the cognitive re­quirements of the main window are high, then a titled windowing system that requires little user intervention appears to be the design choice. However, if the re­quirement to recall information from window to win­dow is low then a single window system display sys­tem is more appropriate. This would reduce not only the cognitive but the design and programming over­head as well.",
90,,"This study also suggests further research. It would be of important to investigate if the users' performance or behavior would be altered as their expertise within the system improved. Additionally, if a tiling system was adopted, what is the saturation limit on the number of windows open simultaneously. Finally, what is the effect of a moveable, modal window system on user behavior. If social learning systems are to become in­tegrated within the school we need not only an under­standing of mediated interaction but also the most ap­propriate interface design for the task.",
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,Understanding the Collaborative Leaming Process in a Technology Rich Environment: The Case of Children's Disagreements,
100,,Marion A. Barfurth,
101,,Departement des sciences de l'education,
102,,Universite du Quebec a Hull,
103,,,
104,,"Abstract 
Recognition of the importance of the social role in learning combined with the advancement of educa­tional applications of computer technology has sparked the development of innovative learning situations. The resulting increased complexity in the social context in which the learning is occurring requires a more in­depth understanding of the learning process. Collabo­rative learning is gaining in popularity but we still need to establish what is meant by it and gain insight into its process. This paper proposes an innovative analytical framework for viewing the collaborative process. It reports on a study with elementary school aged chil­",
105,,dren working with LEGO/Logo and their evolving un­derstanding of the scientific concept of mechanical ad­vantage. It comes as little surprise that children learn­,
106,,"ing collaboratively is not always as collaborative as one might have expected. In fact, in this study dis­agreements arose frequently. Some of the findings are reported and support the view that disagreements can be a legitimate form of collaboration.",
107,,"Keywords - Collaborative learning, situated learning, disagreement, learning process, conceptual change, LEGO/Logo, mechanical advantage, science education,",
108,,"classroom-based research, elementary school.",
109,,"1. Introduction 
Two important theoretical changes with respect to learning are at the root of the increasing interest in learning environments that provide computer support for collaborative learning. The first is the view of learning that considers both the social context and the",
110,,"social processes as an integral part of the learning ac­tivity (Brown, Collins, & Duguid, 1989, Greeno & Moore, 1993, Lave & Wenger, 1991, Resnick, 1991, Rogoff & Lave, 1984). The second is the recognition",
111,,,
112,,of the importance of learners actively constructing their knowledge as suggested by the theoretical viewpoint of constructivism.,
113,,"The creation of learning environments that renders learning more active and in a more social context is ini­tiating new challenges for research on learning. The combination of active learning and technology is creat­ing learning situations that were, until very recently, unavailable for furthering our study of the learning process. Leaming taking place in more social contexts, such as collaborative learning, is gaining in popularity both in classroom practice and research. Yet, very lit­tle is actually known about the process itself.",
114,,"In the area of science and mathematics education the importance of active learning and in more social contexts is well asserted in the literature (Gardner, Greeno, Reif, Schoenfeld, diSessa, & Stage, 1990, Put­nam, Lampert, Peterson, 1990). This change is ex­tremely important as it necessitates the need for im­proving the examination of the learning process in these domains. Greeno (1990) suggests that: ""Most research in science education treats learning in science as something that an individual student does. . . . we researchers of science education need to learn how to study the social phenomena of learning and under­standing scientific concepts"" (p. 181 ).",
115,,"The developmental theories of both Piaget and Vygotsky provide interesting insight into the role of social interaction on cognitive growth. Their views differ in that for Piaget, social interaction is seen from the perspective of its role in the development of logical reasoning. While, for Vygotsky, social interaction is at the core of the developmental process and children's learning. In his theory, individual cognitive develop­ment is a process related to transforming socially regu­lated and mediated knowledge. See Confrey, (1994, 1995) and Tudge and Rogoff (1989) for a more de­tailed analysis of these two theories.",
116,,,
117,,,
118,,,
119,,,
120,,,
121,,Resnick (1991) underlines the importance of look­,
122,,"ing at the influence of social interaction (e.g. asking questions, arguing, the elaboration of one's ideas) on the constructive process. She points out that there is a need to ""seek mechanisms by which people actively shape each other's knowledge and reasoning processes"" (p. 2). Technology rich environments are providing new opportunities for learning to occur in much more social contexts. In the emerging CSCL community, Pea (1994) suggests that we need ""to be deeply con­scious about the birth of CSCL as a discipline and a new approach to thinking about learning and educa­tion"" (p. 297).",
123,,"Both the use of the terminology and the criteria for establishing a collaborative learning situation vary in the literature. Looking at the terminology, terms used to describe collaborative learning include ""peer collab­",
124,,"ing"" (Forman & Cazden, 1985), ""coordinated learning"" oration"" (Tudge & Rogoff, 1984), ""collaborative learn­",
125,,"(Koshmann, 1994), and ""collective learning"" (Pea, 1994). Pea provides an insightful reflection when he argues for his choice of terms: ""not all learning feels or probably is collaborative; it is sometimes competi­tive or coercive in nature"" (p. 286). It is interesting to note this evolution of terms and the breadth of meaning",
126,,that the terms are capturing in order to more realisti­cally reflect the interactions among active learners.,
127,,"The criteria for establishing a collaborative learn­ing situation are also evolving. Forman and Cazden (1985) distinguished collaborative learning from other forms of peer interaction based on the task being per­formed. For them, ""collaboration requires a mutual task in which the partners work together to produce something that neither could have produced alone"" (p. 329). Tudge and Rogoff (1989) distinguished studies on peer collaboration from other studies on peer inter­action on the basis of their focus on the actual process as opposed to just outcomes. This reflects the chang­ing view of research on learning and the type of envi­",
128,,ronments used to study the learning process.,
129,,"In contrast to traditional classroom group work that is often artificial and imposed, collaboration in",
130,,technology rich environments offers the potential for genuine collaboration to occur. The collaboration is genuine because collaborating with others is an optimal and desired form of working. An example of genuine collaboration in everyday life are emergency situations.,
131,,"Something happens (an earthquake, a bus accident) and",
132,,"total strangers work together to provide help, establish priorities, plan for the next move, organize others etc. There is a shared goal and the optimal solution is at­tained by working with others. In this paper, collabo­rative learning is viewed as working with others to­wards a common goal. The focus is on the process and more specifically the process as it occurs during dis­agreement between the collaborators.",
133,,Research on collaborative learning that focuses on the process rather than outcome is both recent and lim-,
134,,,
135,,"ited. It includes in the sociolinguistic tradition, work by Forman and Cazden (1985) that looked at social in­",
136,,"and problem-solving strategies (random combinations, teractional patterns (parallel, associative, cooperative)",
137,,"isolation of variables, systematic combinatorial strat­egy) during group problem solving. Part of their re­sults showed that the most cooperative interactions that",
138,,"used the most combinatorial strategies solved the most problems. However, the pretest-posttest comparison did not show such clear benefits. Tudge (1990) raised an interesting question with respect to peer-peer inter­action. Although the research on collaboration with peers often indicated cognitive advancement (Doise & Mugny, 1984, Perret-Clermont, 1980), Tudge showed that in certain circumstances peer interaction could re­sult in development as well as regression.",
139,,Roschelle (1992) did a micro-analysis of the col­laborative process to look at the convergence of meaning while learning science. The collaborative process in his work was examined as a continuous se­,
140,,ries of interactions. He looked at the collaborative process using an innovative simultaneous approach in,
141,,"which several perspectives of the same act were used for analytical purposes. These were: a) conversational action, b) the conceptual change from a cognitive per­spective, and c) the shared knowledge from a social perspective. Roshchelle was able to show that a con­ceptual change occurred and that the ""students arrived at a common shared new conceptualization"" (p. 264). He described the process as being incremental, interac­tive and social.",
142,,"Disagreements, although not always welcomed, are to be expected as learning becomes more active and social. The research tradition on children's disagree­ments typically examines them from an interpersonal perspective and, given the low tolerance for conflict in elementary school, focuses mostly on very young chil­dren (Shantz, 1987). Very little is known about sub­stantive disagreement that occurs in a naturalistic learning setting.",
143,,"2. The Study 
The study looked at children's collaboration in a design and construction environment (LEGO/Logo) in which children had the opportunity to create and produce robotic inventions (Papert, 1986). The LEGO/Logo activities were integrated into the science and computer",
144,,"curriculum in a regular classroom. They took place twice a week for a duration of 45 minutes. The partic­ular task that the children were working on was to build something that had a mechanical advantage (Barfurth & vanGelder, 1993, 1994, vanGelder & Bar­furth, 1993).",
145,,"In addition to coming up with ideas, during this five week project, the children also had to coordinate different ideas during the different stages of the design process. This study focused specifically on the dis-",
146,,,
147,,,
148,,,
149,,,
150,,,
151,,"agreements the children had during the designing and building stages for their invention. The topics of the disagreements deal with structural, mechanical and physics problems implicit in the construction process.",
152,,from those groups in which all four children had con­One group of four children were randomly chosen,
153,,"sented to participate. The project combined children from a grade four and five classroom; each working group was composed of two children from each grade level. As it turned out, the group selected had a grade four and five girl and a grade four and five boy. One group of four children (2 from grade 4 and 2 from grade 5).",
154,,The principal data collection tool was a video camera placed on a tripod next to the group of four children. The video recordings were then transcribed. A qualitative data analysis program was used to help in the management of the data.,
155,,"2.1. The analytical framework 
The analytical framework presented in this study was designed to look at the collaborative learning process from two perspectives the social and the cognitive. The theoretical foundation for this analytical frame­work grows out of the more recent research that looks to both Piagetian and Vygotskian theories to further the understanding of peer interaction. Forman made an in­teresting suggestion with respect to the different per­spectives of peer interaction as seen in the theoretical frameworks of both Piaget and Vygotsky.",
156,,"Forman (1987) noted theoretical differences in the cognitive and social processes under­lying collaborative problem solving in Pi­aget's and Vygotsky's theories. In Piaget's theory the parallels between cognitive and social processes are explained by the fact that both derive from the same central in­trapsychological process, whereas in Vygot­sky's theory the correspondence is due to the derivation of individual higher cognitive processes from joint social processes. These differing interpretations are accompanied by differences in the mechanism: intersubjec­tivity and perspective-taking. Forman sug­gested that intersubjectivity (from the Vygot­skian perspective) is a process that takes place across people, whereas perspective­taking and decentering (from the Piagetian perspective) are individual processes work­ing on socially provided information.",
157,,"(Tudge & Rogoff, 1989, p. 29)",
158,,The 	differences 	in 	the 	mechanisms (intersubjectivity and perspective-taking) referred to by Forman in the above citation form the basis for the proposed analytical framework. The notion of a social,
159,,,
160,,move and a cognitive move is introduced to opera­tionalize these two different perspectives.,
161,,"The social move: One way of viewing the social (in the sense of intersubjective) perspective of the col­laborative process would be to examine the process, as it occurs, across the participants. In other words, given a group of participants, this perspective looks at the process from the group as a whole and the interactions that occurred as a sequence between them. The notion of sequence is introduced to preserve the order in which the interactions occur between the participants.",
162,,The coding schema used to denote a social move is based on the structural analysis of disagreements done by researchers working in a sociolinguistic tradi­,
163,,"tion (Eisenberg & Garvey, 1981; Genishi & Di Paolo, 1982; Wilkinson & Martino, 1993). The structure for a disagreement recognizes four basic components: an antecedent, opposition, resolution move, outcome.",
164,,"A cognitive move partially reflects the other mechanism that Forman suggests above, that of the individual processes working on socially provided in­formation. There are two working assumptions under­lying the development of the concept of a cognitive move. These are:",
165,,(1) During social interaction a parallel individual cog­	nitive process is taking place.,
166,,(2) (a) Each and every social act reflects an individu­	al's cognitive act.,
167,,(b) This cognitive act can be identified.,
168,,"A cognitive move therefore reflects the cognitive act that a person does in light of the social interaction. Unlike the social move that takes the perspective of across-people and from the group as a whole, a cogni­tive move is from the perspective of the individual and what this individual does in light of the information provided during the social interaction. Similar to the social move, the notion of sequence is introduced to preserve the order in which the cognitive moves take place both between the participants as well as for a given participant. Keeping the cognitive move relative to the social move as well as to the event itself allows for a more extensive analysis to be undertaken.",
169,,"This coding schema was developed to capture the different cognitive moves that the individual children used while disagreeing during their collaborative work. These moves reflect the different options that the chil­dren had with respect to the information put forth by others during the disagreement. What follows is a de­scription of the principal cognitive moves: 
	Initiate a topic: Make an explicit statement with respect to a particular topic. Example: 
	Patricia: [sliding axle through] Well maybe it will jam. [Turning] See it still doesn't touch. So we can't use a small one, Jeff. I told you we had to use a medium.",
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,"gears). This was followed by Kenny who continued to oppose, but from a cognitive perspective has modified his position to take into account Filene's contribution. The disagreement continues with another resolution move (4) and opposition (5) during which, Patricia and Kenny each added new information about the topic being discussed. Filene (6) provided an example of integrating another participant's position while Kenny (7) continued to maintain his position and Patricia added another new information.",
179,,"2.2. Analysis and a summary of some of the results In order to gain more insight into the process of col­laborative learning, the children's social and cognitive moves were examined from three different perspec­tives. These are independently, in parallel and sequen­tially. Each perspective sheds a different light on the process. Looking at the moves independently reveals the composition of the disagreements from a social and cognitive move perspective. In parallel, it reveals the cognitive moves taking place during the social moves. Sequentially it allows one to see if certain moves incite others during the disagreements.",
180,,A total of 24 substantive disagreements were identified while working on their second invention that covered a 5 week period. The results indicate that:,
181,,,
182,,,
183,,"The conclusions with respect to the collaborative process and children's disagreements suggest that a) children's disagreements can be viewed as a legitimate source of collaboration and b) children's disagreements can be both constructive and productive in the learning process. Children's disagreements appear to hold an important role in active learning. How we accommo­date these, as well as other types of collaborative inter­action, is an important consideration for future research on learning. As we broaden the scope of collaborative learning together with the CSCL environments to sup­port it, we need to enhance the ways in which learning is understood.",
184,,"Acknowledgments 
The author would like to thank her thesis committee: Dr. Bruce Shore, Dr. Janet Donin and Dr. Mary McGuire of McGill University, Department of Educa­tional and Counselling Psychology. The author would like to make a special acknowledgment to the late Dr. Guy Groen for his early contribution and inspiration to this work.",
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,The Knowledge Integration Environment: Theory and Design,
194,,"Philip Bell, Elizabeth A. Davis, and Marcia C. Linn",
195,,"Education in Mathematics, Science, and Technology 
Graduate School of Education 
University of California, Berkeley",
196,,,
197,,"Abstract 
The Knowledge Integration Environment (KIE) combines network resources and software with sound pedagogical principles to improve science learning.",
198,,KIE networking tools allow students to use scientific,
199,,"evidence in activities that foster knowledge integration. In a pilot test in an eighth-grade physical science classroom, students worked collaboratively to answer scientific questions such as whether light travels forever or dies out. With the KIE, students use evidence from the Net and tools such as an electronic notebook and on-line discussion tools to make collaborative decisions. This paper describes the pedagogical framework, the components of the KIE software, and initial results from pilot research. We conclude by discussing promising next steps for networking in science education.",
200,,"Keywords - science education, networking, Internet, K-12 educational technology, computer learning environments, scientific evidence, collaborative learning environments.",
201,,"1. Introduction 
The Knowledge Integration Environment (KIE) project draws on technical, cognitive, and social resources to create a productive electronic learning community. We seek to design a learning environment that helps K-12 students use the as-yet untamed (and growing) Internet to acquire skill in interpreting scientific material, gain",
202,,"an integrated understanding of complex scientific ideas, and develop a propensity toward integrating knowledge in general. As more and more schools connect to the information highway, the need for learning environments increases. Such environments take advantage of the corpus of ""classroom materials"" that are added to the network daily and allow students across the nation to work together to investigate scientific problems.",
203,,,
204,,"In this paper, we describe the goals and motivation for the KIE project, delineate the framework that guides this work, describe the preliminary design of the KIE, and summarize our pilot investigation. In conclusion, we describe future directions for creating electronic learning communities.",
205,,"1.1. Motivation and Goals 
The project is exploring how exciting and rapidly expanding new electronic tools, network resources, and",
206,,"human resources can jointly improve science learning and instruction. 	At present, Net1 resources are underutilized and tools are inadequate, often limited to",
207,,browsing without direction. The Net includes a broad array of scientific information that could be tapped to improve science education.,
208,,"Educators and researchers agree that students need connected ideas, not isolated, inert know ledge. Yet students encounter topic after topic in science classes. National standards and state frameworks encourage integrated understanding, but list more topics than most students can integrate. When there is not enough time to get into a topic deeply, students become accustomed to looking at things superficially. Furthermore, incentives to integrate knowledge are few. Standardized tests generally assess isolated facts, and classroom tests often mimic standardized tests.",
209,,"The material taught in science class is often too abstract for students to understand. Students need models that are appropriate for them, problems that are relevant to their lives, and guidance to help them develop an integrated understanding.",
210,,"Teachers often understandably rely on tried-and­true methods, such as using lectures and textbooks, which can promote beliefs of ""teacher or book as authority"" and ""science as a static field"" instead of the active, understanding-focused learning and dynamic view of science that we would like students to see as they participate in science classes. To remedy this situation, the KIE software and curriculum helps",
211,,students use the Net to work on large projects designed to help them integrate their ideas.,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,"1.2. Using the Net for Learning 
Research is needed to determine productive ways to take advantage of the Net connections to pre-college institutions. We need to develop good models for effective instructional uses of this resource. The Kids as Global Scientists project and the Collaborative Visualization project provide two examples of such models (Pea, 1993; Songer, 1993). In both cases, use is targeted primarily at questions involving the weather. We take a broader approach, seeking ways to help students draw on diverse information as they make sense of science.",
218,,"How can we create an instructional environment that helps students develop the integrated understanding of science that they need? We discuss instructional, cognitive, and social issues.",
219,,"In instruction, the Net has the potential for perpetuating or exacerbating the emphasis on breadth over depth in science. If students browse without a goal, their exploration may resemble channel surfing. Indeed, the Net can provide hours of entertainment.",
220,,,
221,,"The Scaffolded Knowledge Integration framework responds to research showing that science courses confuse students by contradicting ""everyday"" observations (Carey, 1985; diSessa, 1993; Resnick, 1983; Vosniadou & Brewer, 1992). Rather than changing their ideas, students respond to these contradictions by concluding, for example, that objects in motion come to rest at home but not at school, or that light dies out at home but not at school, or that heat and temperature are the same at home but different at school. To support knowledge integration, science courses must help students reconcile scientific models and intuitive observations, and guide students to distinguish technical and colloquial usage of science vocabulary. To help students gain a robust and predictive understanding of science, the Scaffolded Knowledge Integration framework emphasizes making connections between scientific concepts and relating",
222,,these concepts to personally relevant situations and problems. The framework suggests guidelines for designers creating science learning environments such,
223,,,
224,,"However, students need activities and resources that 	as KIE.",
225,,,
226,,"help them benefit from their investigations. The Net provides plenty of opportunities to look at or read material, but not as many opportunities to link and connect ideas. KIE provides activities for active, engaged learning.",
227,,"From a cognitive perspective, students need scaffolding for navigating and searching on the Net, and they need guidance to determine what is worth paying attention to and what should best be ignored. KIE provides tools to make the Net more manageable, and begins a process of developing resources on the Net which are useful to students.",
228,,"Making the Net a socially meaningful experience requires careful software and curriculum design. Working on the Net can be a very isolating activity. Interactions are not common among those providing information on the Web and those browsing that information. In fact, using the Net does not have to be collaborative at all. KIE promotes collaboration among students through its software design and curriculum structure as described later in this paper.",
229,,"Furthermore, according to a recent study, about 90% of current Web users are male, and 87% describe their race as white (Pitkow & Recker, 1994). The Web must be made a more female- and minority-friendly place if it is to be of widespread benefit.",
