id,dc.contributor.author[],dc.title[en_US],dc.description.abstract[en_US],dc.subject[en_US],dc.type[en_US],dc.identifier.uri,keywords
14,"Schneider, Rebecca M.||Krajcik, Joseph||Marx, Ron",The Role of Educative Curriculum Materials in Reforming Science Education,"Recent reforms in science education call for curriculum designed to support student's construction of knowledge through inquiry. Teachers need to learn new methods and content to enact reform-based curriculum. Educative curriculum material designed to address teacher learning as well as student, is one potential vehicle. Our work is embedded in an ongoing urban systemic initiative of a large public school district to reform science education. As part of this effort, science curriculum materials were developed that were consistent with constructivist ideas, addressed national and local goals for student learning and educative for teachers. Three middle-school teachers with limited experience with physics and project-based science enacted a 10 week, force and motion unit using educative curriculum materials. Classes were videotaped daily and teachers were interviewed periodically throughout the unit. Through qualitative analysis across data sources we found teachers used and learned from educative features in the materials. In addition, educative features addressing pedagogical content knowledge were used more often and more effectively than those that addressed either pedagogical or content knowledge. Our work indicates educative curriculum can facilitate teacher learning necessary for improved practice and informs development of materials for all teachers as well as those participating in urban reform.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Schneider.pdf,"professional development, curriculum, science education, educational reform"
15,"Singer, Jonathan||Krajcik, Joseph||Marx, Ronald",The Design and Evaluation of Classroom Supports for Seamless Integration of a Dynamic Modeling Tool,"As students are engaged in sustained inquiry supported by technology various challenges arise. One particular challenge is how to introduce learning technologies within a currently enacted curriculum. To meet this challenge student supports must both be imbedded within the technology itself (intrinsic supports) as well as within the classroom (extrinsic supports). Learner centered design research (Soloway 1996; Stratford, 1996, Jackson, et al., 1996) has described several intrinsic supports which facilitates students in learning technologies. This study extends this line of research on the issues of imbedding learning technologies by concentrating on the classroom supports that enables technology to be introduced seamlessly within a curriculum. The technology utilized in this study is a dynamic modeling tool, Model-It, that allows the learner to plan, build, and test dynamic qualitative models.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Singer.pdf,"modeling, scaffolding, curriculum, science education, educational reform"
16,"Stahl, Gerry",A Model of Collaborative Knowledge-Building,"This paper presents a model of learning as a social process incorporating multiple distinguishable phases that constitute a cycle of personal and social knowledge-building. It explicitly considers the relationship of processes associated with individual minds to those considered to be socio-cultural. This model of collaborative knowledge-building incorporates insights from various theories of understanding and learning in hopes of providing a useful conceptual framework for the design of CSCL software, specifically collaborative knowledge-building environments (KBEs). By naming a set of cognitive and social processes, it suggests areas for computer support, including a set of specific illustrative KBE components.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Stahl.pdf,computer-mediated communication; social cognition; learning theory; distributed learning environments
17,"Star, Jon R.",Levels of Competence in Procedural Skills,"How do we master procedural skills in domains such as mathematics? Existing models of procedural acquisition fail to distinguish between levels of ""skilled"" performance. In particular, there is some evidence that automaticity may not be the only endpoint in the acquisition of a skill. Issues of expertise, automaticity, and competency are explored in a case study of a 8th grader in the domain of algebra equation solving. Multiple levels of competence, leading to expertise, are described. I conclude that a learner can become quite accomplished and competent at a procedural skill, and yet fail to display some qualities of expert behavior. In particular, the role of algorithms versus heuristics in the development of competence is highlighted.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Star1.pdf,"mathematics education, learning theory, cognitive science, middle school"
18,"Star, Jon R.",On the Relationship Between Knowing and Doing in Procedural Learning,"The relationship between learners' knowledge of concepts and their ability to execute procedural skills is an important issue that has been explored in several different fields in cognitive science. A review of some of the existing literature within the domain of mathematics learning indicates that little useful theory has been developed to explain how conceptual knowledge and procedural knowledge are related. A primary reason for this deficiency is that knowledge of concepts is treated as a multi-faceted and rich construct, while procedural knowledge is very narrowly defined and operationalized. Philosophical and historical foundations for this differential treatment are discussed. It is suggested that distinguishing between knowledge type and depth of knowledge illuminates alternative ways in which procedural knowledge can be known and understood. A re-conceptualization of procedural knowledge is presented and implications for future research are discussed.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Star2.pdf,"mathematics education, learning theory, cognitive science"
19,"Stricker, Andrew G.||Freeman, Ben||Shea, Elizabeth S.",Real-World Problem Solving Mathematics Tutor,A project is described involving the design of a web-based intelligent tutoring system for use in teaching complex problem-solving in mathematics for middle- and high-school students. A team of researchers and teachers from Texas A&M University and the South San Antonio Independent School District have developed a prototype of the complex problem-solving tutor for investigating the impact of promoting higher levels of real-world problem-solving skills through the delivery of a model-tracing tutor.,cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Stricker.pdf,"complex problem-solving, intelligent tutors, mathematics instruction"
20,"Sukel, Katherine E.||Guzdial, Mark||Realff, Matthew||Ludovice, Pete||Morley, Tom",An Analysis of Non-Integrated Engineering Education,"This paper will discuss the efforts of the Computer-Modeling for Curriculum Integration (CMCI) Project to measure undergraduate engineering students' integration of cross-disciplinary information. This will include a description of the method we used to measure integration, as well as our findings. This will be followed by a brief discussion of the web-based tools we are developing in order to facilitate integrative learning in the engineering curricula.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Sukel.pdf,"curriculum, educational reform, learning communities, quantitative assessment"
21,"Sutter, Berthel",Instructions at Work: A Case of Coronary Diagnostics,"The aim of this paper is to explore the role of instruction as an integrated part of work activity. The perspective I take is an activity-theoretical conception of instruction integrated with three fundamental professional work practices, namely highlighting, use of coding schemes, and articulation of graphic representations. The empirical part of the paper consists of a patient case from a clinical heart conference that is studied in detail. The main outcome of the study is an analytical distinction between instruction as (""crystallized"") artifact-bound representations and ""live"" or situated instructions. It is argued that all instructions are situated, and that situatedness is a doubly situatedness: both from the artifact-mediated tradition of the profession and from the ongoing interactions at work.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Sutter.pdf,"performance support, workplace learning, activity theory"
22,"Talsma, Valerie L.",Scientific Understandings Revealed by Students' Computer Models of a Stream: A Trickle or a Flood?,"Analysis of student constructed computer models is important in order to determine their overall educational value, identify general misconceptions or gaps in both conceptual and epistemological understandings at the classroom level, and assess students' individual achievement levels. This study examines a set of such models constructed during a high school investigation of a local creek. Affordances for the demonstration of conceptual, epistemological and strategic understandings were identified before searching for these understandings in the models. The computer models as a set represent a substantial portion (70%) of the scientific content in the creek project. Ecological content was most strongly represented in the models and most students were able to model causal linkages between biology, earth science, physical science and/or environmental science phenomena. The models potentially represent a much smaller proportion of the epistemological and strategic content of the project. However, these understandings were more tightly scaffolded by the task, so most of the models showed evidence of these types of understandings. Analysis of the content in the models provides evidence of the veracity of students' understandings. Students demonstrated more understandings around specific content than they did about the strategic or epistemological understandings of modeling.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Talsma.pdf,modeling/models; assessment; high school; science education
23,"Vekiri, Ioanna||Samson, Perry",Applying Cognitive Research to the Design of Visualization Tools: Features of the Blue Skies - College Edition Software,In this paper we discuss how findings from cognitive research are applied to the design of the Blue Skies: College Edition software and present findings from our current research.,cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Vekiri.pdf,"visualization, science education, cognitive science"
24,"Vendlinski, Terry||Stevens, Ron",The Use of Artificial Neural Nets (ANN) to Help Evaluate Student Problem Solving Strategies,"This paper describes a technique for developing and analyzing detailed models of complex student problem solving, and methods to measure the reliability and validity of these models. Specifically, we use the Interactive Multi-media Exercises (IMMEX) system to record the specific steps students use to solve open-ended problems. While IMMEX has been used in numerous academic disciplines, the research documented in this paper relies on biology and chemistry students. We analyze thousands of such performances using artificial neural networks as a data-clustering tool that aggregates student performances without a priori knowledge of those performances and without the limitations imposed by comparing these performances to ""experts."" The resulting clusters serve as a rich source of assessment information, and can provide students and educators with the meaningful practical feedback necessary to improve learning. Finally, we analyze these clusters and explore the data features that influence the reliability and usefulness of such a tool.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Vendlinski.pdf,"assessment, science education, artificial intelligence, meta-cognition"
25,"Williams, Susan M.||Nix, Don||Fairweather, Peter",Using Speech Recognition Technology to Enhance Literacy Instruction for Emerging Readers,"In this paper, we describe advances that make it possible to realize the potential of speech recognition to support emerging readers. These advances include improvements in the technology itself and in the design of Watch Me! Read, a tutor that uses this technology to support young readers. In addition, we evaluate Watch Me! Read using a framework for thinking about issues of learning involved in any attempt to implement new technologies. In most discussions of technology implementations, the learning issues remain relatively tacit. By making them explicit, it is possible to assess their coherence as a system (see Brown & Campione, 1996) and their correspondence with what is known about human learning.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Williams.pdf,"literacy education, learning environments"
26,"Wu, Hsin-kai||Krajcik, Joseph S.||Soloway, Elliot",Using Technology to Support the Development of Conceptual Understanding of Chemical Representations,"Many students have difficulty learning symbolic and molecular chemical representations. This study investigates how students develop their understanding of chemical representations with the aid of a visualizing tool, eChem, that allows them to build molecular models and view multiple representations simultaneously. Multiple sources of data were collected with the participation of 71 eleventh graders in a high school over a six-week period. The results of the pre- and post-tests show that students' understanding of chemical representations improved substantially (t=13.9, p<.001, effect size= 2.68). The analysis of video recordings reveals that several features in eChem helped students construct models and translate representations. Evidence also shows that high engagement students' discussions involved both visual and conceptual aspects of representations, which in turn may deepened their understandings of representations. Moreover, the findings suggest that models can serve as a vehicle for students to generate mental images, and that different types of 3D models were not used interchangeably for these students.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Wu.pdf,"visualization, science education, high school"
27,"Ye, Renmin||Skoog, Gerald||Zhu, Yongxin",Science Learning in Chinese Secondary Schools,"This study explores and analyzes factors that are related to the science achievement of Chinese secondary school students. The variables include: job requirements, knowledge usefulness, influences of others, teaching methods, family conditions, perceived difficulty of subject area, and mathematics. This study also provides some data to supplement TIMSS.",cognition,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Ye.pdf,"multicultural, science education, student beliefs, motivation"
28,"Atkinson, Robert K.||Derry, Sharon J.","Computer-Based Examples Designed to Encourage Optimal Example Processing: A Study Examining the Impact of Sequentially Presented, Subgoal-Oriented Worked Examples","This study was designed to examine the effectiveness of a specific type of computer-based worked example, one designed to encourage students to study the example in an optimal fashion by: (1) incorporating visually isolated and labeled subgoals, a structural manipulation that appears to enhance the way in which students study examples; as well as (2) presenting problem states sequentially, a manipulation that appears to have the potential to accomplish the same goal. The study also examined the effects of having examples present or absent during practice problem solving. Findings indicated that sequentially-presented examples with clearly isolated subgoals produce better conceptual performance than do examples in which solutions are presented all at once without strong subgoal emphasis. It is still unclear whether examples should be present or withdrawn during practice problem solving.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Atkinson.pdf,"learning environments, mathematics education, cognitive science"
29,"Barnett, Michael||Barab, Sasha A.||Keating, Thomas||Hay, Kenneth E.",Conceptual Change Through Building Three-Dimensional Virtual Models,"In this study we assessed the growth of university students' conceptual understanding of the seasons of the Earth, and eclipses and phases of the Moon upon completing a three-dimensional (3-D) modeling-based Introduction to Astronomy course. Interviews prior to the course identified a range of student alternative frameworks regarding the composition and mechanics of the Solar System. During the course, student groups constructed three 3-D models of increasing complexity representing different aspects of the Solar System. Students explored these models in a 3-D virtual environment and posted their final projects on the course World Wide Web page. Post interviews were targeted toward quantitative and qualitative assessment of student conceptual growth. Students showed significant improvement in their conceptual understanding concerning the phases and eclipses of the Moon and reasons for the seasons. Results also suggest that 3-D modeling can be used to support students' understanding of many fundamental astronomy topics.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Barnett.pdf,"science education, modeling/models, virtual reality, visualization"
30,"Bell, Philip||Davis, Elizabeth A.",Designing Mildred: Scaffolding Students' Reflection and Argumentation Using a Cognitive Software Guide,"In this paper, we discuss the design and study of a guidance and prompting system for a technology-based learning environment used in science classrooms. We focus briefly on how the tool has evolved through several years of iterative refinement, how the tool has been used by students in different curricular contexts for different epistemic practices, and how we as researchers can learn about students' learning and cognition through use of the affordances of such software environments. In particular, scaffolding in the form of prompts and hints are investigated for supporting causal explanations of scientific evidence (or argumentation) and promoting more general reflection. The results imply that both kinds of scaffolds support students' knowledge integration in important ways. The paper concludes with the claim that the guidance software helps students identify ways to improve their understanding by helping students think individually and collaboratively to provide alternative examples, thought experiments, and counter-evidence for consideration, and by providing a place to make their own thinking about these ideas visible and explicit. The paper also makes the broader claim that educational design studies such as the two reported here serve a unique role in identifying designed approaches that best support student learning while also informing our understanding of individual and social cognition in typical educational contexts.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Bell.pdf,"learning environments, scaffolding, science education, reflection"
31,"Bos, Nathan||Drabenstott, Karen||Krajcik, Joseph||Soloway, Elliot||Talley, Melanie||Woolridge, Steven||Miller, John",Students' Searching and Evaluating with the Artemis Interface to a Digital Library,"This paper describes the design and evaluation of the Artemis interface to the University of Michigan Digital Library, which was built to assist students in searching on-line collections. Noteworthy features of Artemis include the ability to store search results in an on-line workspace, browse collections as well as keyword-search, and access diverse collections (both Web pages and proprietary collections) with a single agent-based architecture. To evaluate Artemis, we conducted in-situ videotaped sessions with students using Artemis in a project-based curriculum. We supplemented this with analysis of log file data collected at the server level. Analysis of videotaped sessions show that students spend a considerable percentage of their in Artemis evaluating search results on a number of levels. Log files show that students also developed fairly sophisticated search strategies, using both browsing and searching, and constructing multiple-keyword searches. Shortcomings and future directions of the Artemis system are also discussed.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Bos.pdf,"digital-library, middle-school, high-school, science education"
32,"Bruckman, Amy||Edwards, Elizabeth||Elliott, Jason||Jensen, Carlos",Uneven Achievement in a Constructionist Learning Environment,"MOOSE Crossing is a text-based virtual reality environment (or ""MUD"") designed to be a constructionist learning environment for children ages 8 to 12. We performed a portfolio-style assessment of children's programming accomplishments in this environment. Analysis of the data reveals uneven levels of achievement - some children accomplish a great deal but the majority learn little. We believe this to be a typical problem in self-motivated learning environments. We conclude by describing a new ""merit badge"" system we are currently implementing to help alleviate unevenness in children's achievement.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Bruckman.pdf,"constructionism, self-motivated learning, CSCL, portfolio assessment"
33,"Camp, Paul J.||Gray, Jackie||Groves, Harriett||Kolodner, Janet L.",Modeling and Case-Based Reasoning in Support of Reflective Inquiry in Earth Science,We describe the activities that make up a new series of design oriented earth science unit for middle school. These units are currently under development and testing.,design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Camp.pdf,"middle school, modeling/models, reflection, science education"
34,"Centola, Damon||Wilensky, Uri||McKenzie, Eamon",A Hands-on Modeling Approach to Evolution: Learning about the Evolution of Cooperation and Altruism Through Multi-Agent Modeling - The EACH Project,"This paper presents a hands-on approach to learning about evolution; specifically, the evolution of altruistic and cooperative behavior. The classical view of individual selection stresses the importance of competition between individuals for resources and survival. On this view, altruistic and cooperative behavior appear to be disadvantageous for evolutionary success. However, looking at evolution as a complex system, altruism and cooperation can be seen as valuable traits for individual survival. The EACH project developed hands-on materials that enabled students to engage and test their intuitions about the fitness and evolutionary success of altruistic behavior. The primary materials consisted of a set of multi-agent models (written in StarLogoT) and associated activities that guided students in exploring evolutionary scenarios. Through their involvement in the EACH project, many students who had started with an understanding of evolutionary fitness as a trait of isolated individuals came to appreciate the complexity of environmental and social factors in the evolutionary process.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Centola.pdf,"science education, modeling/models, learning environments, mathematics education"
35,"Chen, Mei||Decary, Michel",Computer-Supported Collaborative Problem Solving in the Home Environment,"Home is the place where children eagerly seek collaborative activities and friendship that are out-of-reach in their physical environments. A Virtual Homework Center (VHC) is invented for high school students to carry out computer-supported collaborative problem-solving activities in the home environment. VHC gives great importance to interests and preferences of participants. Students can choose a subject or topic in which they are interested, they can invite people of whom they are fond, or join the group with which they feel comfortable. They can set their group work in either collaborative or competitive mode, depending on the preferences of participants. VHC aims at optimizing some of the important conditions for efficient network-based collaboration in the home environment: (a) supports students' self-initiated collaborative problem-solving activities, (b) embeds rich, yet natural, interactions within the system, (c) enables participants to create groups for collaborative work along with a set of collaboration parameters, (d) accounts for the action of each individual and the state of the collaboration in relation to the goal of tasks and, (d) promotes collaborative problem-solving and dialogue among participants in real-time. The main driving element of the collaboration within VHC is to bring the group into a state where a common answer is agreed upon. When this happens, convergence has been attained and the group has reached their collaborative goal.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Chen.pdf,"home schooling, computer-mediated communication, high school, mathematics education"
36,"Conanan, Denise||Pinkard, Nichole",Studio Zone: Computer Support for Reflective Design,"This poster will describe a study of Studio Zone, a web-based learning environment for supporting discussion around visual representations of design, with the goal of fostering critiquing skills. This approach features personal reflection spaces, portfolios, and cognitive scaffolds to support critique. This study presents a comparison of two contexts in which the Studio Zone environment will be integrated: a middle school art class and a graduate level class in educational software design.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Conanan.pdf,"distributed learning environments, scaffolding, reflection"
37,"Craig, David||ul-Haq, Saif||Khan, Sabir||Zimring, Craig||Kehoe, Colleen||Rick, Jochen||Guzdial, Mark",Using An Unstructured Collaboration Tool to Support Peer Interaction in Large College Classes,"Peer interaction may be a useful strategy for having students express their knowledge and get personalized feedback in large classes. In this paper we look at how a CoWeb ­ an unstructured collaboration space ­ was used to support a large college design class. Although the CoWeb was used for several purposes, we focus specifically on how it was used to support class discussions. We start with why we feel CoWeb discussions, and more generally online peer interaction, may be useful in light of our pedagogical goals. We then analyze the structure of the discussions and how students perceived them, and discuss how the online environment may have influenced behavior. From this analysis, we conclude the CoWeb was effective in helping students think about open-ended issues through online peer interaction. However, we also conclude that providing some structure might help online discussions appear more coherent and productive.",design,unknown,http://websites.umich.edu/~icls/proceedings/pdf/Craig.pdf,"computer-mediated communication, discourse, learning communities"
